Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
1,337,118,4,4.5,4.5,9.65,1,1
2,324,107,4,4,4.5,8.87,1,1
3,316,104,3,3,3.5,8,1,1
4,322,110,3,3.5,2.5,8.67,1,1
5,314,103,2,2,3,8.21,0,1
6,330,115,5,4.5,3,9.34,1,1
7,321,109,3,3,4,8.2,1,1
8,308,101,2,3,4,7.9,0,1
9,302,102,1,2,1.5,8,0,0
10,323,108,3,3.5,3,8.6,0,0
11,325,106,3,3.5,4,8.4,1,1
12,327,111,4,4,4.5,9,1,1
13,328,112,4,4,4.5,9.1,1,1
14,307,109,3,4,3,8,1,1
15,311,104,3,3.5,2,8.2,1,1
16,314,105,3,3.5,2.5,8.3,0,1
17,317,107,3,4,3,8.7,0,1
18,319,106,3,4,3,8,1,1
19,318,110,3,4,3,8.8,0,1
20,303,102,3,3.5,3,8.5,0,1
21,312,107,3,3,2,7.9,1,1
22,325,114,4,3,2,8.4,0,1
23,328,116,5,5,5,9.5,1,1
24,334,119,5,5,4.5,9.7,1,1
25,336,119,5,4,3.5,9.8,1,1
26,340,120,5,4.5,4.5,9.6,1,1
27,322,109,5,4.5,3.5,8.8,0,1
28,298,98,2,1.5,2.5,7.5,1,0
29,295,93,1,2,2,7.2,0,0
30,310,99,2,1.5,2,7.3,0,1
31,300,97,2,3,3,8.1,1,1
32,327,103,3,4,4,8.3,1,1
33,338,118,4,3,4.5,9.4,1,1
34,340,114,5,4,4,9.6,1,1
35,331,112,5,4,5,9.8,1,1
36,320,110,5,5,5,9.2,1,1
37,299,106,2,4,4,8.4,0,1
38,300,105,1,1,2,7.8,0,1
39,304,105,1,3,1.5,7.5,0,0
40,307,108,2,4,3.5,7.7,0,0
41,308,110,3,3.5,3,8,1,0
42,316,105,2,2.5,2.5,8.2,1,0
43,313,107,2,2.5,2,8.5,1,1
44,332,117,4,4.5,4,9.1,0,1
45,326,113,5,4.5,4,9.4,1,1
46,322,110,5,5,4,9.1,1,1
47,329,114,5,4,5,9.3,1,1
48,339,119,5,4.5,4,9.7,0,1
49,321,110,3,3.5,5,8.85,1,1
50,327,111,4,3,4,8.4,1,1
51,313,98,3,2.5,4.5,8.3,1,1
52,312,100,2,1.5,3.5,7.9,1,1
53,334,116,4,4,3,8,1,1
54,324,112,4,4,2.5,8.1,1,1
55,322,110,3,3,3.5,8,0,1
56,320,103,3,3,3,7.7,0,1
57,316,102,3,2,3,7.4,0,1
58,298,99,2,4,2,7.6,0,0
59,300,99,1,3,2,6.8,1,0
60,311,104,2,2,2,8.3,0,0
61,309,100,2,3,3,8.1,0,0
62,307,101,3,4,3,8.2,0,0
63,304,105,2,3,3,8.2,1,1
64,315,107,2,4,3,8.5,1,1
65,325,111,3,3,3.5,8.7,0,1
66,325,112,4,3.5,3.5,8.92,0,1
67,327,114,3,3,3,9.02,0,1
68,316,107,2,3.5,3.5,8.64,1,1
69,318,109,3,3.5,4,9.22,1,1
70,328,115,4,4.5,4,9.16,1,1
71,332,118,5,5,5,9.64,1,1
72,336,112,5,5,5,9.76,1,1
73,321,111,5,5,5,9.45,1,1
74,314,108,4,4.5,4,9.04,1,1
75,314,106,3,3,5,8.9,0,1
76,329,114,2,2,4,8.56,1,1
77,327,112,3,3,3,8.72,1,1
